Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature
Omer Adam,קוקוריקו,51,0.787,0.497,7,-7.728,0,0.0396,0.56,0.0389,0.304,0.504,111.991,171000,4
Cake,War Pigs,57,0.581,0.566,6,-8.169,0,0.0357,0.00698,2.07E-05,0.0968,0.449,83.904,234013,4
BENEE,If I Get To Meet You,35,0.68,0.683,8,-7.098,1,0.0634,0.499,0.361,0.0786,0.807,157.08,182336,4
GRAZER,Nostalgia Seed,42,0.46,0.853,1,-9.045,1,0.0385,0.118,1.32E-06,0.194,0.578,159.026,181321,4
Busta Rhymes,True Indeed,21,0.417,0.945,10,-2.639,1,0.357,0.000367,0.00161,0.249,0.805,177.645,113120,4
Dolly Ave,Waiting for You,49,0.161,0.261,8,-10.281,1,0.0305,0.925,2.41E-05,0.184,0.085,66.909,204743,3
Queensrÿche,Empire - Remastered 2003,56,0.315,0.895,9,-4.519,1,0.0924,0.00216,0.0434,0.0596,0.432,79.628,324067,4
Lewis Del Mar,Painting (Masterpiece),37,0.726,0.861,9,-5.167,1,0.0695,0.277,0.000465,0.0534,0.711,91.966,243413,4
Elizabeth,parties,63,0.336,0.543,11,-8.483,0,0.0544,0.171,0.0245,0.0661,0.258,136.92,208553,4
The Velvet Underground,Sweet Jane,61,0.619,0.637,7,-7.369,1,0.0286,0.015,0.00366,0.374,0.936,105.205,246307,4
Tyla Yaweh,Stuntin' On You (feat. DDG & Dame D.O.L.L.A.) - Remix,45,0.816,0.669,2,-5.943,1,0.3,0.00928,0.755,0.124,0.774,173.936,183141,4
Fangclub,Vulture Culture,20,0.293,0.917,6,-6.104,1,0.074,1.28E-05,0.00156,0.435,0.504,180.146,199077,4
JDM Global,Cake,27,0.727,0.801,9,-6.562,1,0.0307,0.251,6.14E-06,0.0838,0.928,121.032,167603,4
Black Peaks,Electric Fires,54,0.31,0.989,2,-3.876,1,0.104,0.000607,0.00218,0.328,0.146,181.958,201718,3
The Wrecks,Fvck Somebody,50,0.533,0.661,7,-5.196,0,0.0418,0.0239,0.0141,0.347,0.603,142.079,181013,4
"Kenny Rogers, Dolly Parton",Islands In The Stream,63,0.589,0.641,10,-5.533,1,0.0313,0.427,0.293,0.0558,0.795,204.003,4.164666667,4
MISSIO,Middle Fingers,32,0.517,0.553,8,-5.135,1,0.0329,0.000104,3.23E-05,0.133,0.0775,139.26,215200,4
DaVido,Jowo,61,0.552,0.656,2,-4.941,1,0.204,0.706,0.125,0.0744,0.804,67.379,176471,3
Half Me,Exitwound,70,0.483,0.974,2,-2.832,1,0.159,0.000114,1.87E-06,0.966,0.327,93.455,209197,4
The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1",75,0.555,0.902,4,-7.918,1,0.0958,0.337,0.777,0.152,0.62,156.108,287507,4
Snow Patrol,Chasing Cars,70,0.56,0.595,5,-4.53,1,0.0274,0.199,3.16E-06,0.132,0.144,104.011,267960,4
Yot Club,YKWIM?,46,0.372,0.537,3,-7.623,1,0.0305,0.937,0.451,0.287,0.228,123.735,212750,3
Nickelback,Rockstar,10,0.616,0.91,8,-3.004,1,0.0386,0.0459,0.111,0.343,0.693,144.072,252040,4
Blondie,Rapture,41,0.722,0.7,7,-8.241,0,0.05,0.111,2.04E-06,0.545,0.946,107.505,299293,4
Michael Burks,Thank God For Fools,35,0.671,0.86,7,-5.381,1,0.0339,0.033,6.42E-06,0.342,0.765,113.028,254000,4
George Thorogood,I Got My Eyes On You,24,0.405,0.905,11,-2.572,1,0.0327,5.43E-05,7.15E-05,0.235,0.705,157.228,214067,4
Courting,Crass,44,0.434,0.837,9,-6.69,1,0.149,0.00598,0.0421,0.0895,0.843,131.906,173760,4
Peter Netz,Come Join Me For A Coffee,52,0.667,0.103,4,-16.431,1,0.0654,0.973,0.000226,0.0915,0.364,61.758,3.073516667,4
The Who,Love Ain't For Keeping,17,0.554,0.818,8,-6.864,1,0.0362,0.0779,0.00156,0.341,0.512,142.339,130720,4
Public Image Ltd.,Rise,50,0.533,0.739,5,-9.361,1,0.0561,0.00299,1.64E-05,0.475,0.636,86.345,378373,4
Grindpad,The Knife Is Sharper Than Ever,52,0.211,0.983,9,-3.79,1,0.187,6.51E-06,1.12E-05,0.127,0.263,171.662,305160,4
Citizen,I Want to Kill You,36,0.584,0.876,8,-3.635,0,0.0652,0.00698,0.462,0.0895,0.703,149.976,192107,4
Of Mice & Men,Timeless,61,0.529,0.944,2,-7.203,1,0.0881,8.05E-05,0.942,0.104,0.133,115.002,246500,4
Muddy Waters,Dealin' With the Devil,36,0.365,0.713,2,-6.984,1,0.114,0.597,0.0017,0.971,0.324,82.434,470413,4
Black Rebel Motorcycle Club,Spread Your Love,44,0.415,0.901,6,-3.124,1,0.0428,0.00987,0.000363,0.136,0.424,128.216,225333,4
Eliad,מיאמי,47,0.652,0.718,4,-6.123,0,0.0434,0.0509,0.00593,0.105,0.595,172.1,217240,4
Silverstein,Madness,62,0.385,0.922,7,-4.705,0,0.107,0.000131,0.0732,0.246,0.501,170.131,218280,4
Bleached,Hard to Kill,71,0.725,0.695,2,-6.934,1,0.0288,0.000697,1.39E-06,0.233,0.86,127.523,206160,4
Dashboard Confessional,Hands Down,50,0.463,0.827,9,-4.085,1,0.0437,0.013,2.50E-06,0.0964,0.26,94.035,186867,4
"Florida Georgia Line, Luke Bryan",This Is How We Roll,29,0.555,0.931,6,-2.969,1,0.0367,0.016,7.62E-05,0.405,0.723,132.085,3.681783333,4
Willie Dixon,I Can't Quit You Baby,47,0.469,0.236,7,-16.981,1,0.0364,0.407,1.57E-06,0.215,0.415,82.232,399173,4
Battering Ram,Pieces,45,0.553,0.941,1,-5.312,1,0.073,0.000226,0.0452,0.127,0.5,108.735,222155,3
Mannequin Pussy,Control,25,0.354,0.877,5,-4.817,1,0.065,0.00501,0.00263,0.348,0.388,129.879,195130,4
Goldpark,Wild Love,64,0.568,0.591,1,-6.323,1,0.035,0.000439,0.000716,0.0892,0.367,119.911,204766,4
Fontaines D.C.,Big,60,0.5,0.947,11,-3.602,1,0.0452,0.044,0.00147,0.205,0.966,181.834,105516,4
"Ludwig van Beethoven, Anne-Sophie Mutter, Yo-Yo Ma, Daniel Barenboim, West-Eastern Divan Orchestra","Triple Concerto in C Major, Op. 56: 2. Largo - attacca - Live at Philharmonie, Berlin / 2019",30,0.148,0.0978,10,-22.617,1,0.0407,0.787,0.00127,0.145,0.039,89.658,5.279066667,4
Gavin DeGraw,I Don't Want to Be,60,0.423,0.862,11,-5.13,0,0.0695,0.00791,0.0139,0.133,0.462,154.746,217760,4
Meek Mill,Otherside Of America,28,0.73,0.772,4,-3.883,0,0.316,0.0878,0.00267,0.401,0.403,147.053,218103,4
Little Feat,Dixie Chicken - Live,61,0.488,0.674,4,-8.366,1,0.0497,0.225,0.0267,0.728,0.724,146.566,533667,4
System Of A Down,Lonely Day,46,0.458,0.783,8,-3.226,0,0.0322,0.346,0.0476,0.13,0.224,113.072,167907,3
Alaska Reid,Mermaid Tears - Midnight,37,0.348,0.368,7,-11.761,1,0.046,0.843,0.000302,0.399,0.0488,140.122,200571,4
Yuno,No Going Back,51,0.714,0.708,7,-5.524,0,0.027,0.0112,0.000938,0.0609,0.902,93.005,208200,4
Nation of Language,The Wall & I,46,0.558,0.876,5,-5.625,1,0.0288,0.0244,0.000488,0.0971,0.448,141.995,304714,4
Middle Child,Burn Out,63,0.743,0.479,1,-8.737,1,0.0757,0.581,0.0427,0.11,0.29,139.954,231125,4
Beach Bunny,Ms. California,55,0.582,0.859,1,-3.943,1,0.0399,0.000209,0.00082,0.0841,0.61,121.968,172037,4
Mae,Embers And Envelopes,50,0.554,0.82,7,-6.156,1,0.0486,0.114,0.00101,0.204,0.372,120.893,258107,3
HEALTH,ISN’T EVERYONE,54,0.459,0.698,4,-8.079,0,0.051,0.0294,0.00101,0.139,0.165,147.954,314719,4
Ritchie Valens,"Come On, Let's Go",24,0.616,0.724,9,-8.101,1,0.042,0.788,0.00928,0.128,0.809,81.402,2.07645,3
King Gizzard & The Lizard Wizard,East West Link,69,0.461,0.75,7,-8.688,0,0.0436,0.0243,8.41E-06,0.116,0.798,166.019,188786,4
Editors,An End Has A Start,17,0.349,0.923,9,-2.432,0,0.0539,1.95E-05,0.00105,0.336,0.535,149.904,225533,4
JP Cooper,September Song - Guitar Acoustic,45,0.41,0.428,1,-7.927,0,0.0329,0.359,0.00521,0.138,0.526,88.361,3.53588333,4
Mohammed Rafi,Zindagi To Bewafa Hai,60,0.269,0.342,4,-8.632,0,0.0301,0.936,0.0772,0.109,0.143,80.073,2.689066667,4
"Kid Rock, Sheryl Crow",Picture (feat. Sheryl Crow),33,0.692,0.496,10,-7.332,1,0.0241,0.172,0.00172,0.107,0.376,97.945,4.982666667,4
Vijay Prakash,Tandanana - Brahmam Okate,48,0.414,0.585,4,-7.315,1,0.0879,0.768,0.894,0.0897,0.742,168.025,5.327783333,3
A. Nayaka,4OAK,29,0.753,0.761,1,-5.735,0,0.153,0.312,5.64E-06,0.077,0.805,147.05,182857,4
Rage Against The Machine,Take The Power Back,50,0.62,0.912,4,-4.011,1,0.221,0.0728,0.654,0.249,0.291,106.236,336440,4
Dana Williams,Worst In Me,49,0.586,0.332,9,-12.445,1,0.0407,0.71,0.000542,0.0782,0.269,95.996,236187,4
Embrace,All You Good Good People,33,0.232,0.719,10,-6.255,1,0.0428,0.000118,1.14E-06,0.119,0.323,165.906,366267,4
הגל השני,הנחיות חדשות,21,0.644,0.79,9,-8.658,0,0.0529,0.139,1.23E-05,0.155,0.657,80.021,217276,4
Dream State,Primrose,32,0.449,0.92,9,-5.601,0,0.0837,0.00286,0.187,0.337,0.208,145.976,264457,4
Charley Pride,Kiss an Angel Good Mornin',56,0.684,0.498,8,-10.836,1,0.03,0.708,0.897,0.365,0.905,131.855,2.052216667,4
Zero Theorem,Threat - Remix,51,0.402,0.968,1,-3.42,0,0.0869,0.00369,0.00082,0.219,0.337,176.048,208542,4
Buddy Guy,She's Got The Devil In Her,64,0.441,0.9,2,-4.03,1,0.095,0.0109,0.0521,0.253,0.465,119.141,310729,3
Ekin Fil,The Reckoning,20,0.142,0.0664,5,-25.04,1,0.0467,0.871,0.00127,0.102,0.0388,145.565,312000,1
Keb' Mo',For Better or Worse,82,0.558,0.322,4,-11.802,1,0.0343,0.754,0.00575,0.11,0.286,73.868,205107,4
The Lumineers,Ophelia,49,0.664,0.573,5,-6.519,1,0.0277,0.613,0.0391,0.0857,0.566,76.023,2.66828333,4
Tommy Genesis,Tommy,60,0.716,0.855,4,-7.856,1,0.0488,0.00287,2.13E-06,0.268,0.377,138.008,162481,4
Ziggy Marley,True To Myself,32,0.88,0.564,7,-6.431,1,0.0498,0.0786,0.542,0.0565,0.83,99.019,225600,4
What A Day - Edit,Ben Howard,41,0.663,0.434,4,-9.03,1,0.0278,0.539,0.0245,0.0906,0.593,136.018,4.296216667,4
Dua Lipa,Break My Heart,32,0.73,0.729,10,-3.434,0,0.0883,0.167,0.000332,0.349,0.467,113.013,221820,4
Noah Cunane,F*CK ABOUT IT,37,0.364,0.936,2,-4.281,1,0.146,0.000626,0.00242,0.427,0.579,180.191,100608,4
LCD Soundsystem,Daft Punk Is Playing at My House,24,0.92,0.914,11,-4.555,1,0.0444,0.0222,1.98E-05,0.114,0.974,135.923,314557,4
Etti Ankri,רואה לך בעיניים,36,0.543,0.323,9,-13.399,1,0.0266,0.0546,0.0206,0.136,0.222,138.349,322000,4
DEAR MOTHER,Satellite,16,0.469,0.86,8,-7.417,1,0.0591,3.95E-05,0.149,0.152,0.245,122.027,210240,4
3d Blast,3rD BEST,32,0.377,0.773,7,-7.417,1,0.0732,0.0481,0.201,0.87,0.548,119.883,242817,4
Layla Zoe,Gemini Heart,59,0.469,0.445,5,-8.452,1,0.0286,0.682,0.808,0.119,0.237,107.865,370760,3
Westlife,Pictures In My Head,44,0.647,0.677,11,-4.108,1,0.0285,0.22,0.0421,0.105,0.436,109.955,4.234883333,4
Novocaine,Codeine,59,0.333,0.88,7,-7.791,1,0.065,0.0023,0.73,0.127,0.266,168.138,283250,4
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight) - Live,45,0.364,0.776,1,-9.849,1,0.0557,0.00979,0.00325,0.837,0.459,127.926,5.580216667,4
Spank Rock,Bump - Switch Remix,40,0.777,0.693,8,-10.473,1,0.439,0.246,0.00321,0.249,0.485,126.005,447000,4
Kenny Wayne Shepherd,Nothing But The Night,52,0.688,0.756,2,-6.046,0,0.0323,0.164,0.0858,0.121,0.883,110.981,293507,4
Catfish and the Bottlemen,Pacifier,49,0.459,0.883,9,-4.1,1,0.0476,0.000491,0.000383,0.118,0.338,147.943,237533,4
Emma-Jean Thackray,Say Something,48,0.419,0.608,9,-9.957,0,0.054,0.798,0.0692,0.129,0.341,125.144,229500,1
Half Your Love,Bahamas,81,0.73,0.249,9,-9.888,0,0.0344,0.886,0.886,0.096,0.332,132.007,2.403116667,4
Faster Pussycat,Nola,73,0.519,0.917,11,-5.691,1,0.0554,0.00609,1.50E-06,0.288,0.627,150.014,237707,4
Moonspell,Alma Mater,20,0.235,0.867,2,-6.408,0,0.0647,0.000133,0.484,0.0758,0.305,142.939,337307,3
Pantera,Immortally Insane,36,0.352,0.915,11,-3.727,1,0.0586,4.13E-05,0.529,0.208,0.264,82.589,311083,4
The Smithereens,A Girl Like You,63,0.657,0.828,2,-9.344,1,0.0283,0.0892,0.00123,0.0575,0.908,123.799,282867,4
